OrderDetailID,OrderID,ProductID,Quantity
1 ,10248 ,11 ,12 
2 ,10248 ,42 ,10 
3 ,10248 ,72 ,5 
4 ,10249 ,14 ,9 
5 ,10249 ,51 ,40 
6 ,10250 ,41 ,10 
7 ,10250 ,51 ,35 
8 ,10250 ,65 ,15 
9 ,10251 ,22 ,6 
10 ,10251 ,57 ,15 
11 ,10251 ,65 ,20 
12 ,10252 ,20 ,40 
13 ,10252 ,33 ,25 
14 ,10252 ,60 ,40 
15 ,10253 ,31 ,20 
16 ,10253 ,39 ,42 
17 ,10253 ,49 ,40 
18 ,10254 ,24 ,15 
19 ,10254 ,55 ,21 
20 ,10254 ,74 ,21 
21 ,10255 ,2 ,20 
22 ,10255 ,16 ,35 
23 ,10255 ,36 ,25 
24 ,10255 ,59 ,30 
25 ,10256 ,53 ,15 
26 ,10256 ,77 ,12 
27 ,10257 ,27 ,25 
28 ,10257 ,39 ,6 
29 ,10257 ,77 ,15 
30 ,10258 ,2 ,50 
31 ,10258 ,5 ,65 
32 ,10258 ,32 ,6 
33 ,10259 ,21 ,10 
34 ,10259 ,37 ,1 
35 ,10260 ,41 ,16 
36 ,10260 ,57 ,50 
37 ,10260 ,62 ,15 
38 ,10260 ,70 ,21 
39 ,10261 ,21 ,20 
40 ,10261 ,35 ,20 
41 ,10262 ,5 ,12 
42 ,10262 ,7 ,15 
43 ,10262 ,56 ,2 
44 ,10263 ,16 ,60 
45 ,10263 ,24 ,28 
46 ,10263 ,30 ,60 
47 ,10263 ,74 ,36 
48 ,10264 ,2 ,35 
49 ,10264 ,41 ,25 
50 ,10265 ,17 ,30 
